종목명,개인,외국인,기관계,기관,,,,,,,기타법인
,,,,금융투자,보험,투신,은행,기타금융,연기금등,사모펀드,
CJ ENM,-3169,+1529,+1569,-149,-32,+345,,,-24,+1429,+78
ES큐브,-50,+66,,,,,,,,,
GS홈쇼핑,+404,-167,-242,-271,-1,-160,,+166,-41,+66,+5
KCC건설,-417,+121,+287,-5,,+291,,,,,+12
SBI핀테크솔루션즈,-17,+8,,,,,,,,,+6
SGC이테크건설,+16,-514,+355,+3,+95,+39,,+3,+117,+97,+143
SNK,+126,-120,,,,,,,,,
나우IB,-118,+87,,,,,,,,,+20
미투젠,+110,-110,,,,,,,,,-2
소마젠(Reg.S),-165,+176,-4,-4,,,,,,,+1
신원종합개발,-115,+107,,,,,,,,,+8
오가닉티코스메틱,-41,+46,,,,,,,,,+3
윙입푸드,-15,+12,,,,,,,,,
유신,+49,-49,,,,,,,,,
잉글우드랩,-78,+79,-3,,,-3,,,,,+2
컬러레이,-31,+32,,,,,,,,,-1
코리아에셋투자증권,+2378,-90,-2252,-2252,,,,,,,-23
한국기업평가,+33,+16,-12,-12,,,,,+1,-1,-26
헝셩그룹,-38,+35,,,,,,,,,
APS홀딩스,-48,+39,,,,,,,,,+9
CNH,-117,+101,,,,,,,,,+16
COWON,,,,,,,,,,,
CSA 코스믹,,,,,,,,,,,
CS,-103,+53,+62,,,+62,,,,,+23
EDGC,-497,+452,+4,+1,,,,,,+2,+16
EG,-20,+15,+4,+4,,,,,,,
EMB,,,,,,,,,,,
EMW,,,,,,,,,,,
GV,,,,,,,,,,,
ITX-AI,,,,,,,,,,,
JTC,+18,-18,,,,,,,,,
KC산업,,,,,,,,,,,
KH E&T,-44,+44,,,,,,,,,+1
KD,+11,-1,,,,,,,,,-15
KPX생명과학,+574,-527,-1,-1,,,,,,,-58
KMH,+314,-256,,,,,,,,,-49
MP그룹,,,,,,,,,,,
NE능률,-633,-8,+665,-85,,+750,,,,,+17
NEW,+1400,-1421,-73,-217,-16,-320,,-6,+486,,+97
OQP,,,,,,,,,,,
SGA,-135,+110,,,,,,,,,+24
SGA클라우드서비스,,,,,,,,,,,
SGA솔루션즈,+48,-50,,,,,,,,,
SK4호스팩,+72,,,,,,,,,,-72
THE MIDONG,-3,+3,,,,,,,,,
THQ,+45,-52,,,,,,,,,+4
TS인베스트먼트,+780,-274,-457,,,-45,,,,-412,-129
UCI,,,,,,,,,,,
감성코퍼레이션,-213,+281,,,,,,,,,-69
강스템바이오텍,-154,+188,-35,,,,,,,-35,
강원,,,,,,,,,,,
게임빌,+25,-54,+6,+6,,,,,,,+28
경남제약헬스케어,,,,,,,,,,,
경창산업,+150,-149,,,,,,,,,
골드앤에스,,,,,,,,,,,
골드퍼시픽,-256,+229,,,,,,,,,+29
골든센츄리,,-63,,,,,,,,,+26
골프존데카,,,,,,,,,,,
관악산업,,,,,,,,,,,
광림,+35,-2,,,,,,,,,-20
광진실업,+10,-10,,,,,,,,,
교보9호스팩,,,,,,,,,,,
구영테크,+305,-315,,,,,,,,,
국순당,+74,-73,,,,,,,,,
국일제지,-1342,+1454,-283,-281,,,,,+7,-8,+61
굿센,,,,,,,,,,,
글로벌에스엠,+17,-20,,,,,,,,,
글로본,+147,-147,,,,,,,,,
기가레인,+30,-37,+1,+1,,,,,,,+6
나노브릭,+25,-12,,,,,,,,,-19
나노스,-1442,+1636,+1,+1,,,,,,,+151
나눔테크,,,,,,,,,,,
나라소프트,,,,,,,,,,,
나우코스,,,,,,,,,,,
나이벡,+3367,-1504,-1132,,,-139,,,,-992,-735
내츄럴엔도텍,,,,,,,,,,,
네오이뮨텍(Reg.S),-1225,+149,+1417,+1,,-8,,,+1424,,-315
네오펙트,+106,-95,,,,,,,,,
네온테크,-26,+48,,,,,,,,,-28
네이블,-3,+3,,,,,,,,,
네이처셀,-305,+245,+1,+3,,,,,+6,-7,+57
네추럴FNP,,,,,,,,,,,
