종목명,개인,외국인,기관계,기관,,,,,,,기타법인
,,,,금융투자,보험,투신,은행,기타금융,연기금등,사모펀드,
CJ ENM,-21870,+10560,+10813,-1033,-223,+2377,,,-164,+9856,+540
ES큐브,-8810,+11516,,,,,,,,,
GS홈쇼핑,+2712,-1121,-1627,-1822,-9,-1076,,+1117,-277,+440,+35
KCC건설,-35921,+10493,+24600,-400,,+25000,,,,,+1030
SBI핀테크솔루션즈,-1821,+863,,,,,,,,,+642
SGC이테크건설,+289,-9181,+6335,+57,+1694,+695,,+62,+2086,+1741,+2547
SNK,+5472,-5228,,,,,,,,,-6
나우IB,-7957,+5950,,,,,,,,,+1326
미투젠,+4426,-4425,+8,+8,,,,,,,-100
소마젠(Reg.S),-11202,+11916,-252,-252,,,,,,,+97
신원종합개발,-16295,+15194,,,,,,,,,+1130
오가닉티코스메틱,-57077,+64513,,,,,,,,,+4219
윙입푸드,-10858,+8758,,,,,,,,,
유신,+2469,-2470,,,,,,,,,
잉글우드랩,-11912,+12022,-449,,,-449,,,,,+278
컬러레이,-15205,+15670,,,,,,,,,-465
코리아에셋투자증권,+161315,-3587,-155241,-155241,,,,,,,-1437
한국기업평가,+381,+186,-138,-131,,,,,+10,-17,-300
헝셩그룹,-62253,+57618,,,,,,,,,-1
APS홀딩스,-4252,+3543,,,,,,,,,+734
CNH,-32543,+27997,,,,,,,,,+4546
COWON,,,,,,,,,,,
CSA 코스믹,,,,,,,,,,,
CS,-16050,+8753,+8905,,,+8905,,,,,+3267
EDGC,-105984,+96973,+724,+246,,,,,,+478,+3159
EG,-1790,+1390,+399,+399,,,,,,,
EMB,,,,,,,,,,,
EMW,,,,,,,,,,,
GV,,,,,,,,,,,
ITX-AI,,,,,,,,,,,
JTC,+3749,-3749,,,,,,,,,
KC산업,,,,,,,,,,,
KH E&T,-20725,+20826,,,,,,,,,+500
KD,+5254,-286,,,,,,,,,-6998
KPX생명과학,+49404,-45362,,,,,,,,,-5049
KMH,+25827,-21015,,,,,,,,,-4000
MP그룹,,,,,,,,,,,
NE능률,-30245,-665,+32173,-4000,,+36173,,,,,+754
NEW,+100093,-102008,-4955,-15556,-1141,-22958,,-430,+35130,,+7073
OQP,,,,,,,,,,,
SGA,-128735,+105467,,,,,,,,,+22221
SGA클라우드서비스,,,,,,,,,,,
SGA솔루션즈,+34561,-35337,,,,,,,,,
SK4호스팩,+35255,,,,,,,,,,-35255
THE MIDONG,-1715,+1715,,,,,,,,,
THQ,+11041,-12603,,,,,,,,,+1000
TS인베스트먼트,+171362,-60027,-101000,,,-10000,,,,-91000,-28296
UCI,,,,,,,,,,,
감성코퍼레이션,-225138,+298378,,,,,,,,,-74058
강스템바이오텍,-21871,+26788,-4998,+2,,,,,,-5000,
강원,,,,,,,,,,,
게임빌,+484,-1044,+111,+118,-7,,,,,,+551
경남제약헬스케어,,,,,,,,,,,
경창산업,+44068,-44029,,,,,,,,,-4
골드앤에스,,,,,,,,,,,
골드퍼시픽,-186317,+166752,,,,,,,,,+21286
골든센츄리,-2438,-147961,,,,,,,,,+62660
골프존데카,,,,,,,,,,,
관악산업,+30,,,,,,,,,,-30
광림,+12224,+879,,,,,,,,,-7762
광진실업,+1902,-1902,,,,,,,,,
교보9호스팩,-46,,+46,+10,,,,,,+36,
구영테크,+72695,-75013,,,,,,,,,
국순당,+8723,-8662,,,,,,,,,
국일제지,-216392,+233681,-44490,-44260,,,,,+1090,-1320,+9494
굿센,,,,,,,,,,,
글로벌에스엠,+13865,-16328,,,,,,,,,
글로본,+31974,-31974,,,,,,,,,
기가레인,+15994,-19378,+382,+382,,,,,,,+3000
나노브릭,+2710,-1311,,,,,,,,,-2010
나노스,-150207,+169882,+120,+120,,,,,,,+15905
나눔테크,,,,,,,,,,,
나라소프트,,,,,,,,,,,
나우코스,,,,,,,,,,,
