종목명,개인,외국인,기관계,기관,,,,,,,기타법인
,,,,금융투자,보험,투신,은행,기타금융,연기금등,사모펀드,
AK홀딩스,-15,+21,-13,-13,,,,,,,+6
ARIRANG 200,+23,+4,-27,-1652,+865,+760,,,,,
ARIRANG KRX300IT,-1,,+1,+2,,,,,,,
ARIRANG KRX300,,,+1,+2,,,,,,,
ARIRANG KRX300헬스케어,+7,,-7,-7,,,,,,,
ARIRANG KS로우볼가중TR,,,,,,,,,,,
ARIRANG KS로우사이즈가중TR,,,,,,,,,,,
ARIRANG KS모멘텀가중TR,+1,,-1,-1,,,,,,,
ARIRANG KS밸류가중TR,,,,,,,,,,,
ARIRANG KS퀄리티가중TR,,,,+1,,,,,,,
ARIRANG 고배당저변동50,-9,,+9,+79,,,-69,,,,
ARIRANG 고배당주채권혼합,+2,,-2,-78,,,+76,,,,
ARIRANG 고배당주,+1367,-1,-1389,-77,,-8,-1304,,,,
ARIRANG 국채선물10년,,,,,,,,,,,
ARIRANG 글로벌MSCI(합성 H),-3,,+3,+3,,,,,,,
ARIRANG 단기채권액티브,-8,,+8,+8,,,,,,,
ARIRANG 미국S&P500(H),+49,-1,+126,+126,,,,,,,-175
ARIRANG 미국나스닥기술주,+24,,-24,-140,,,+117,,,,
ARIRANG 미국다우존스고배당주(합성 H),+71,,-95,-230,,,+135,,,,
ARIRANG 미국단기우량회사채,+1,,-1,-1,,,,,,,
ARIRANG 미국장기우량회사채,+21,,-21,-21,,,,,,,
ARIRANG 선진국MSCI(합성 H),+12,,-12,-12,,,,,,,
ARIRANG 신흥국MSCI(합성 H),-123,,+118,+111,+25,,-18,,,,-1
ARIRANG 심천차이넥스트(합성),-6,,+6,+6,,,,,,,
ARIRANG 우량회사채50 1년,+22,,-22,-22,,,,,,,
ARIRANG 주도업종,+6,,-6,-6,,,,,,,
ARIRANG 중형주저변동50,,,,+40,,,-40,,,,
ARIRANG 코스닥150선물인버스,+57,,-57,-57,,,,,,,
ARIRANG 코스피50,-46,,+46,+31,,+15,,,,,
ARIRANG 코스피,-8,+1,+7,+7,,-1,,,,,
ARIRANG 코스피TR,,,,,,,,,,,
BNK금융지주,-1180,+2264,-1123,-1467,+124,+283,+30,+121,-144,-70,+38
BYC,-7,+6,,+1,,,-1,,,,
CJ4우(전환),+58,+28,-89,-86,,,,,,-3,+4
CJ대한통운,+276,-506,+304,+35,,-12,,,+282,,-80
CJ우,+15,-12,-4,,,,,,-4,,
CJ,-296,+226,+59,+22,-6,+8,,,+26,+9,+11
CJ제일제당 우,-75,+70,+7,+25,-2,,,,,-16,+4
CJ제일제당,+1462,-263,-1091,+208,-126,-172,,+48,-1063,+16,-97
CS홀딩스,+8,-8,,,,,,,,,
DL건설,-195,+174,+30,+16,+105,,,,-91,,-7
DB금융투자,-13,+8,+2,+3,,,,,,,+3
DL우,-35,+8,+28,+28,,,,,,,
DI동일,-328,+118,+198,,,,-9,,-61,+268,
DB하이텍,-6929,+4407,+1882,+308,+269,+321,,,+1043,-58,+802
DL,+6831,-7828,+1173,-135,+128,+215,,+16,+705,+244,-201
DGB금융지주,-2590,+1622,+904,+202,+168,+531,,+67,+25,-90,+62
DL이앤씨,+3284,-657,-2911,-127,+35,-572,-15,-31,-611,-1589,+291
DL이앤씨우,+208,-159,-2,-2,,,,,,,-57
E1,-57,+54,+3,-9,,-15,+26,,,+1,+1
FOCUS KRX300,,,,,,,,,,,
GS,+589,-2550,+1903,-168,-27,+995,+424,,+658,+21,+28
GS우,-95,+64,+23,,,,,,+23,,+9
GS건설,-8621,+10141,-1197,+204,-101,-1,+199,+119,-1462,-155,-305
HANARO 200,+5,+1,-6,-231,+51,,+175,,,,
HANARO 200TR,+1,,-1,-33,,-3,+35,,,,
HANARO 200선물인버스,+12,,-12,-12,,,,,,,
HANARO KAP초장기국고채,+2,,-2,-2,,,,,,,
HANARO KRX300,,,,,,,,,,,
HANARO MSCI Korea TR,,,,+1,,-1,,,,,
HANARO e커머스,,,,-1452,,-1,+1629,,,-176,
HANARO 고배당,+89,,-89,-1156,,-1,+6,,+1061,,
HANARO 글로벌럭셔리S&P(합성),+273,,-273,-463,,,+190,,,,
HANARO 농업융복합산업,,,,-10,,-1,+10,,,,
HANARO 코스닥150,+4,,-4,-24,,,+20,,,,
HDC현대산업개발,+375,+89,-471,+204,+375,-654,-3,,-109,-284,+3
HDC,+1095,-989,-12,+68,,-1,+18,,-101,+4,-93
HMM,+68659,-70442,+1646,-1374,+109,+149,,,+2787,-25,+28
JB금융지주,+361,+116,-622,-148,,+16,,,-401,-89,+147
KBSTAR 200IT,-2,,+2,+2,,,,,,,
KBSTAR 200,-11,+3,+7,-200,+291,+787,,,,-871,
KBSTAR 200생활소비재,-5,,+5,+5,,,,,,,
KBSTAR 5대그룹주,-12,,+12,+12,,,,,,,
KBSTAR ESG사회책임투자,+127,,-127,-921,,,+1419,,,-625,
KBSTAR IT플러스,-8,+31,-24,-800,,,+947,,,-172,+1
KBSTAR KQ고배당,-2,,+2,+69,,,-68,,,,
KBSTAR KRX300,,,,+9,,,-9,,,,
KBSTAR V&S셀렉트밸류채권혼합,-1,,+1,+2,,,-1,,,,
KBSTAR 게임테마,-7,,+7,-225,,,+232,,,,
KBSTAR 고배당,+21,,-21,-722,,,+701,,,,
KBSTAR 국고채3년,+5,,-5,-6,,+1,,,,,
KBSTAR 국고채3년선물인버스,-25,,+25,+24,,+1,,,,,
KBSTAR 국채선물10년,-1,,+1,,,,,,,,
KBSTAR 글로벌4차산업IT(합성 H),+30,,-30,-93,,,+62,,,,
KBSTAR 금융채액티브,+1,,-1,-2,,+1,,,,,
KBSTAR 단기국공채액티브,-396,,+396,+395,,+1,,,,,
KBSTAR 단기통안채,-13,,+13,-82,,+95,,,,,
KBSTAR 대형고배당10TR,+37,,-37,+83,-180,,+60,,,,
KBSTAR 모멘텀로우볼,,,,,,,,,,,
KBSTAR 미국S&P원유생산기업(합성 H),-137,+29,+107,+107,,,,,,,
KBSTAR 미국고정배당우선증권ICE TR,,,,-37,,,+37,,,,
KBSTAR 주식혼합,,,,,,,,,,,
KBSTAR 중국MSCI China선물(H),-5,,+5,-97,,,+102,,,,
KBSTAR 중국본토대형주CSI100,-32,-2,+34,-184,,,+218,,,,
KBSTAR 중기우량회사채,+4,-3,-1,-27,,+1,,,+26,,
KBSTAR 중소형고배당,+20,,-20,-93,,,+73,,,,
KBSTAR 중장기국공채액티브,+4,,-4,-4,,+1,,,,,
KBSTAR 차이나HSCEI(H),-1,,+1,+1,,,,,,,
KBSTAR 코스닥150,-1,,+2,+162,,,-161,,,,
KBSTAR 코스닥150선물인버스,+23,,-23,-33,,,+10,,,,
KBSTAR 코스피ex200,-1,,+1,,,,,,,,
KBSTAR 코스피,-2,+1,+1,+1,,,,,,,
KBSTAR 팔라듐선물(H),+8,,-17,-17,,,,,,,+9
KBSTAR 헬스케어채권혼합,-3,,+3,+12,,,-9,,,,
KBSTAR 헬스케어,+47,,-47,-47,,,,,,,
KB금융,-47536,+38905,+11176,-559,+1904,+8381,+504,+13,+1118,-185,-2408
KCC,-4702,-705,+5175,+1916,+746,+1594,,-340,+2042,-783,+228
KG동부제철,-6411,+3608,+2902,+54,-209,-478,-1405,,+2329,+2611,-87
KG케미칼,+959,-1011,+49,,,,,,+49,,-1
KINDEX 200,-3,+8,-4,-44,,+39,,,,,
KINDEX S&P아시아TOP50,-11,,+10,+52,,,-42,,,,
KINDEX 국고채3년,,,,,,,,,,,
KINDEX 단기통안채,+2,,-2,-52,,+50,,,,,
KINDEX 러시아MSCI(합성),-147,,+152,+152,,,,,,,
KINDEX 미국IT인터넷S&P(합성 H),+8,,-8,-8,,,,,,,
KINDEX 미국S&P500,+1300,,-1314,-2132,,,+773,,,+44,+3
KINDEX 미국WideMoat가치주,+332,,-332,-1051,,+27,+692,,,,
KINDEX 미국다우존스리츠(합성 H),+5,,-5,-457,,,+452,,,,
KINDEX 밸류대형,,,,,,,,,,,
KINDEX 베트남VN30(합성),+407,-12,-417,-430,,-21,+34,,,,+18
KINDEX 삼성그룹섹터가중,+1,,-1,-2,,,,,,,
KINDEX 스마트로우볼,,,,,,,,,,,
KINDEX 스마트모멘텀,,,,+1,,,,,,-2,
KINDEX 스마트밸류,,,,,,,,,,,
KINDEX 스마트퀄리티,-1,,+1,+1,,,,,,,
KINDEX 싱가포르리츠,+1,,-1,+17,,,-17,,,,
KINDEX 인도네시아MSCI(합성),+1,,,-22,,,+22,,,,
KINDEX 인버스,+71,,-71,-71,,,,,,,
KINDEX 일본Nikkei225(H),+6,,-7,+278,-284,,,,,,
KINDEX 일본TOPIX인버스(합성 H),,,,,,,,,,,
KINDEX 중국본토CSI300,-107,,+107,-56,+162,,+1,,,,
KINDEX 코스닥150,,,,-1,,,,,,,
KINDEX 코스피,,,,-1,,+1,,,,,
KINDEX 필리핀MSCI(합성),+20,,-20,-20,,,,,,,
KODEX 200ESG,-15,,+15,-242,,,+257,,,,
KODEX 200TR,+49,,-50,-281,+28,,+203,,,,
KODEX 200가치저변동,+1,,-1,+12,,,-13,,,,
KODEX 200,-7797,+4669,+2780,+2562,-209,-1,+527,,-122,+23,+348
KODEX 200롱코스닥150숏선물,,,,,,,,,,,
KODEX 200미국채혼합,+1,,-1,-3,+4,,-2,,,,
KODEX 2차전지산업,-4142,+388,+3759,-964,,+1,+4750,,,-28,+2
KODEX 3대농산물선물(H),-45,,+45,+45,,,,,,,
KODEX China H,-6,,+7,-5,+11,,,,,,
KODEX China H선물인버스(H),,,,,,,,,,,
KODEX Fn성장,-5,,+5,+5,,,,,,,
KODEX IT,-50,+3,+47,+48,,,,,,,
KODEX KRX300,-1,-5,+6,+14,,+34,+10,,-52,,
KODEX KTOP30,+23,,-23,-23,,,,,,,
KODEX MSCI KOREA ESG유니버설,,,,-1,,,,,,,
KODEX MSCI Korea TR,-25,-8,+33,+33,,,,,,,
KODEX MSCI Korea,,,,,,,,,,,
KODEX MSCI모멘텀,+2,,-2,-2,,,,,,,
KODEX MSCI밸류,+5,,-5,-5,,,,,,,
KODEX MSCI퀄리티,,,,,,,,,,,
KODEX S&P글로벌인프라(합성),-6,,-9,-30,,+12,+10,,,,
KODEX TRF5050,+1,,-1,-142,,,+141,,,,
KINDEX 200TR,,+9,-10,-23,,+13,,,,,
KODEX Fn멀티팩터,,,,,,,,,,,
KODEX 단기채권PLUS,-693,,+693,+693,,,,,,,
KINDEX Fn성장소비주도주,+1,,-1,-1,,,,,,,
KODEX 코스닥 150,-821,-2147,+2960,+1281,+24,,+151,,,+1504,+9
KBSTAR V&S셀렉트밸류,,,,-1,,+1,,,,,
KT,-8373,+3335,+5059,+1288,+490,+793,-2,-10,+2088,+414,+30
KODEX TRF3070,+214,,-214,-253,+5,,+33,,,,
KODEX 200exTOP,-3,,+3,+3,,,,,,,
KODEX TRF7030,+12,,-12,-18,,,+7,,,,
KODEX Top5PlusTR,-4,+2,+1,+1,,,,,,,
KODEX WTI원유선물(H),-2492,-194,+2681,+2763,,,-82,,,,+1
KODEX WTI원유선물인버스(H),+13,,-25,-25,,,,,,,+10
KODEX 건설,+993,-1,-992,-1152,,,+159,,,,
KODEX 게임산업,+81,,-81,-81,,,,,,,
KODEX 경기소비재,-9,,+9,+9,,,,,,,
KODEX 고배당,+251,,-264,-283,,+10,,,,+9,
KODEX 골드선물(H),+893,+1,-895,-815,,,-79,,,,
KODEX 구리선물(H),+178,-88,-103,-168,,,+65,,,,+13
KODEX 국고채3년,+19,,-7,-133,,+116,+10,,,,-12
KODEX 국채선물10년인버스,-23,,+23,+23,,,,,,,
KODEX 국채선물10년,+54,,-55,-55,,,,,,,
KODEX 글로벌4차산업로보틱스(합성),-25,,+24,+10,,,+14,,,,+2
KODEX 기계장비,+26,,-26,-26,,,,,,,
KODEX 다우존스미국리츠(H),-3,,+3,+3,,,,,,,
KODEX 단기변동금리부채권액티브,,,,,,,,,,,
KODEX 단기채권,-32,,+33,+20,,+103,-90,,,,
KODEX 모멘텀Plus,-1,,+1,,+1,,,,,,
KODEX 미국FANG플러스(H),+2172,+485,-2640,-3917,,-6,+1282,,,,-13
KODEX 미국S&P500선물(H),+284,,-290,-483,+126,+5,+58,,,+4,
KODEX 미국S&P고배당커버드콜(합성 H),+25,,-25,-25,,,,,,,
KODEX 미국S&P바이오(합성),-19,,+18,+18,,,,,,,
KODEX 미국S&P산업재(합성),-9,,+6,+16,,-11,+1,,,,
KODEX 미국S&P에너지(합성),+20,-54,-44,-43,,-4,+2,,,,
KODEX 미국나스닥100선물(H),-23,-2,+25,-101,,+29,+90,,,+7,
KODEX 미국달러선물,-207,,+207,-84,+291,,,,,,
KODEX 미국달러선물인버스,,,,,,,,,,,
KODEX 미국러셀2000(H),-118,,+118,+129,-9,+15,-18,,,,
KODEX 미국채10년선물,+59,,-40,-40,,,,,,,
KODEX 미국채울트라30년선물(H),+36,-2,-34,-76,,+42,,,,,
KODEX 미디어&엔터테인먼트,+12,,-12,-42,,,+30,,,,
KODEX 바이오,-120,-2,+119,+119,,,,,,,+2
KODEX 반도체,+374,+58,-454,-1887,,+20,+1413,,,,+21
KODEX 배당가치,-17,,+17,+17,,,,,,,
KODEX 배당성장채권혼합,+2,,-2,-23,,,+20,,,,
KODEX 배당성장,+18,,-17,-31,,+10,-6,,,+9,
KODEX 보험,+122,,-125,-252,,,+128,,,,
KODEX 삼성그룹,-133,,+133,-17,-82,+132,+100,,,,
KODEX 삼성그룹밸류,-8,,+8,+11,,-3,,,,,
KODEX 선진국MSCI World,+33,,-33,-211,+52,-9,+129,,,+5,
KODEX 심천ChiNext(합성),-149,+404,-254,-57,,-15,-182,,,,
KODEX 에너지화학,+10,,-13,+9,,,-22,,,,
