종목명,개인,외국인,기관계,기관,,,,,,,기타법인
,,,,금융투자,보험,투신,은행,기타금융,연기금등,사모펀드,
AK홀딩스,-548,+752,-469,-466,-3,,,,,,+200
ARIRANG 200,+518,+120,-638,-37860,+19702,+17520,,,,,
ARIRANG KRX300IT,-64,,+64,+84,,-20,,,,,
ARIRANG KRX300,-9,,+59,+79,,-20,,,,,
ARIRANG KRX300헬스케어,+486,,-486,-466,,-20,,,,,
ARIRANG KS로우볼가중TR,,,,+20,,-20,,,,,
ARIRANG KS로우사이즈가중TR,+24,,-24,-4,,-20,,,,,
ARIRANG KS모멘텀가중TR,+61,,-61,-41,,-20,,,,,
ARIRANG KS밸류가중TR,+4,,-4,+16,,-20,,,,,
ARIRANG KS퀄리티가중TR,-22,,+22,+42,,-20,,,,,
ARIRANG 고배당저변동50,-816,,+821,+6937,,-20,-6096,,,,
ARIRANG 고배당주채권혼합,+184,,-184,-6981,,-20,+6817,,,,
ARIRANG 고배당주,+109907,,-111725,-6091,,-668,-104966,,,,
ARIRANG 국채선물10년,+5,,-5,-5,,,,,,,
ARIRANG 글로벌MSCI(합성 H),-189,,+189,+189,,,,,,,
ARIRANG 단기채권액티브,-80,,+80,+80,,,,,,,
ARIRANG 미국S&P500(H),+2930,-62,+7469,+7469,,,,,,,-10355
ARIRANG 미국나스닥기술주,+1107,,-1107,-6593,,,+5486,,,,
ARIRANG 미국다우존스고배당주(합성 H),+4625,,-6235,-14965,,,+8730,,,,
ARIRANG 미국단기우량회사채,+12,,-12,-12,,,,,,,
ARIRANG 미국장기우량회사채,+222,,-222,-222,,,,,,,
ARIRANG 선진국MSCI(합성 H),+963,,-963,-991,,,+28,,,,
ARIRANG 신흥국MSCI(합성 H),-9556,-16,+9187,+8649,+1950,,-1412,,,,-60
ARIRANG 심천차이넥스트(합성),-462,,+462,+462,,,,,,,
ARIRANG 우량회사채50 1년,+202,,-202,-202,,,,,,,
ARIRANG 주도업종,+519,,-519,-499,,-20,,,,,
ARIRANG 중형주저변동50,+20,,-20,+3319,,-20,-3319,,,,
ARIRANG 코스닥150선물인버스,+8182,,-8182,-8182,,,,,,,
ARIRANG 코스피50,-1515,,+1515,+1011,,+504,,,,,
ARIRANG 코스피,-238,+32,+206,+226,,-20,,,,,
ARIRANG 코스피TR,+6,,-6,-26,,+20,,,,,
BNK금융지주,-170191,+327745,-163092,-212693,+17896,+40917,+4401,+17514,-20979,-10148,+5444
BYC,-19,+17,+1,+3,,,-2,,,,+1
CJ4우(전환),+763,+360,-1171,-1120,-5,,,,,-46,+48
CJ대한통운,+1583,-2864,+1699,+187,-3,-71,,,+1586,,-455
CJ우,+248,-192,-63,,,,,,-63,,+7
CJ,-3074,+2346,+611,+228,-59,+85,,,+263,+94,+118
CJ제일제당 우,-391,+365,+35,+128,-9,,,,,-84,+22
CJ제일제당,+3570,-644,-2665,+501,-308,-420,,+116,-2592,+38,-235
CS홀딩스,+99,-102,+1,+1,,,,,,,
DL건설,-5517,+4939,+851,+462,+2987,,,,-2598,,-189
DB금융투자,-1877,+1231,+349,+372,-23,,,,,,+452
DL우,-690,+156,+535,+535,,,,,,,
DI동일,-1904,+691,+1148,,+1,,-50,,-358,+1555,
DB하이텍,-114860,+73256,+31067,+5024,+4443,+5289,,,+17269,-958,+13179
DL,+71389,-81786,+12239,-1433,+1332,+2243,,+162,+7377,+2558,-2105
DGB금융지주,-316215,+198209,+110281,+24856,+20488,+64655,,+8180,+3072,-10970,+7580
DL이앤씨,+24800,-4986,-21951,-920,+258,-4326,-114,-234,-4618,-11997,+2198
DL이앤씨우,+2586,-1982,-30,-30,,,,,,,-710
E1,-1280,+1205,+58,-195,-3,-346,+577,,,+25,+22
FOCUS KRX300,,,,,,,,,,,
GS,+14016,-60201,+44831,-3995,-634,+23451,+10000,,+15509,+500,+655
GS우,-2725,+1825,+650,,,,,,+650,,+250
GS건설,-187457,+220356,-25881,+4476,-2182,-25,+4300,+2584,-31621,-3413,-6620
HANARO 200,+110,+28,-138,-5326,+1170,,+4018,,,,
HANARO 200TR,+10,,-10,-640,,-50,+680,,,,
HANARO 200선물인버스,+1394,-18,-1376,-1376,,,,,,,
HANARO KAP초장기국고채,+34,,-34,-34,,,,,,,
HANARO KRX300,,,,,,,,,,,
HANARO MSCI Korea TR,,,,+50,,-50,,,,,
HANARO e커머스,-12,,+12,-79658,,-45,+89447,,,-9732,
HANARO 고배당,+8414,,-8414,-108963,,-50,+599,,+100000,,
HANARO 글로벌럭셔리S&P(합성),+15742,,-15742,-26695,,+6,+10947,,,,
HANARO 농업융복합산업,+19,,-31,-739,,-61,+769,,,,
HANARO 코스닥150,+239,+10,-249,-1577,,,+1328,,,,
HDC현대산업개발,+13440,+3141,-16850,+7268,+13334,-23310,-104,,-3897,-10141,+90
HDC,+94055,-84896,-1081,+5828,-40,-48,+1514,,-8687,+352,-7952
HMM,+2088515,-2142149,+50327,-41386,+3316,+4542,,,+84621,-766,+2
JB금융지주,+54467,+17350,-93535,-22232,-33,+2385,,,-60215,-13440,+22089
KBSTAR 200IT,-125,,+125,+120,,+5,,,,,
KBSTAR 200,-234,+145,+78,-4630,+6661,+18047,,,,-20000,
KBSTAR 200생활소비재,-596,,+596,+591,,+5,,,,,
KBSTAR 5대그룹주,-1352,,+1347,+1337,,+10,,,,,
KBSTAR ESG사회책임투자,+9032,,-9032,-65517,,+10,+100898,,,-44423,
KBSTAR IT플러스,-337,+1429,-1118,-36128,,+5,+42783,,,-7778,+26
KBSTAR KQ고배당,-104,,+104,+4219,,+10,-4125,,,,
KBSTAR KRX300,,,,+442,,+10,-452,,,,
KBSTAR V&S셀렉트밸류채권혼합,-43,,+43,+126,,+10,-93,,,,
KBSTAR 게임테마,-430,,+430,-13666,,+5,+14091,,,,
KBSTAR 고배당,+1670,,-1672,-56259,,+10,+54577,,,,
KBSTAR 국고채3년,+48,,-48,-53,,+5,,,,,
KBSTAR 국고채3년선물인버스,-248,,+248,+242,,+6,,,,,
KBSTAR 국채선물10년,-14,,+14,+8,,+6,,,,,
KBSTAR 글로벌4차산업IT(합성 H),+1383,+16,-1399,-4281,,+1,+2881,,,,
KBSTAR 금융채액티브,+9,,-9,-15,,+6,,,,,
KBSTAR 단기국공채액티브,-3878,,+3878,+3873,,+5,,,,,
KBSTAR 단기통안채,-125,,+125,-785,,+910,,,,,
KBSTAR 대형고배당10TR,+2138,,-2151,+4875,-10500,+5,+3469,,,,+1
KBSTAR 모멘텀로우볼,-1,,+1,-9,,+10,,,,,
KBSTAR 미국S&P원유생산기업(합성 H),-39891,+8581,+31279,+31279,,,,,,,
KBSTAR 미국고정배당우선증권ICE TR,+7,,-7,-3656,,,+3649,,,,
KBSTAR 주식혼합,-3,,+3,+3,,,,,,,
KBSTAR 중국MSCI China선물(H),-319,,+319,-6683,,,+7002,,,,
KBSTAR 중국본토대형주CSI100,-1432,-100,+1537,-8383,,,+9920,,,,
KBSTAR 중기우량회사채,+36,-24,-12,-260,,+5,,,+243,,
KBSTAR 중소형고배당,+1609,,-1609,-7484,,+10,+5865,,,,
KBSTAR 중장기국공채액티브,+35,,-35,-40,,+5,,,,,
KBSTAR 차이나HSCEI(H),-59,,+59,+59,,,,,,,
KBSTAR 코스닥150,-74,-38,+112,+10953,,+5,-10846,,,,
KBSTAR 코스닥150선물인버스,+4956,,-4956,-7106,,,+2150,,,,
KBSTAR 코스피ex200,-43,,+43,+33,,+10,,,,,
KBSTAR 코스피,-49,+17,+32,+22,,+10,,,,,
KBSTAR 팔라듐선물(H),+505,,-1035,-1035,,,,,,,+529
KBSTAR 헬스케어채권혼합,-223,,+223,+911,,+5,-693,,,,
KBSTAR 헬스케어,+2717,,-2717,-2727,,+10,,,,,
KB금융,-863183,+706221,+203226,-10860,+34620,+152927,+9257,+231,+20352,-3301,-43781
KCC,-14213,-2125,+15705,+5857,+2235,+4814,,-1000,+6163,-2364,+618
KG동부제철,-363495,+204935,+164286,+3094,-11597,-26518,-78650,,+131394,+146563,-5029
KG케미칼,+34025,-35841,+1754,+10,-3,,,,+1747,,-43
KINDEX 200,-75,+176,-101,-1001,,+900,,,,,
KINDEX S&P아시아TOP50,-649,+20,+628,+3279,,,-2651,,,,
KINDEX 국고채3년,+2,,-2,-3,,+1,,,,,
KINDEX 단기통안채,+21,,-21,-521,,+500,,,,,
KINDEX 러시아MSCI(합성),-5504,,+5686,+5686,,,,,,,+5
KINDEX 미국IT인터넷S&P(합성 H),+396,,-396,-396,,,,,,,
KINDEX 미국S&P500,+110451,,-111655,-181074,,-4,+65653,,,+3770,+290
KINDEX 미국WideMoat가치주,+20592,,-20592,-65035,,+1663,+42780,,,,
KINDEX 미국다우존스리츠(합성 H),+56,,-56,-5147,,,+5091,,,,
KINDEX 밸류대형,-2,,+2,-18,,+20,,,,,
